product_name,description_1,description_2,download_link,Categories,Brands,URL
Koganei Air Hand AFDPG Flat type,The flat-type air hand with linear guides to increase accuracy and rigidity adopts a double piston method to achieve larger gripping force. Select from synchronous/ non-synchronous/ and long types according to workpiece requirements. The thin figure achieves height of 15mm in case of 6mm between the body surface and guides and 37mm in case of 18mm between the body surface and guides; while an option can be selected with stroke adjusting mechanism (in both opening and closing directions) for all models.Bore size 6mm/8mm/12mm/14mm/18mmStroke12-80mmEffective gripping force From12N{1.2kgf} at 6mm to 105N {10.7kgf} at 18mm Specification ,,https://official.en.koganei.co.jp/downloader/catalog/AFDPG/1,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/koganei-air-hand-afdpg-2/
Koganei NHBDSL / NHBDSLG 180 Degree Open/Close,Φ12 to 25 mm [0.472 to 0.984 in] cylinder bore size. 180 degree finger type. Perfect for chucking and handling. Φ12 to 20 mm [0.472 to 0.787 in] cylinder bore size. 180 degree open/close type. Employs a thrust bearing for high accuracy and high rigidity. Perfect for workpiece escape. Specification    Order Code   ,,https://official.en.koganei.co.jp/downloader/catalog/NHBDSLG_ALL/1,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/koganei-nhbdsl-nhbdslg-2/
Koganei NHBDPGL Parallel type with linear guide,Bore size: Φ8 to 20 mm [0.315 to 0.787 in] cylinder bore. Linear guide equipped high-rigidity air hand that is perfect for chucking and handling. Specification  Order Code ,,https://official.en.koganei.co.jp/downloader/catalog/NHBDPGL_ALL/1,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/koganei-nhbdpgl-parallel-type-with-linear-guide/
Koganei NHBDPG Parallel type with linear guide,Koganei NHBDPG Parallel type with linear guide : Double acting type & single acting type Φ8 to 32 mm [0.315 to 1.26 in] cylinder bore. Linear guide equipped high-rigidity air hand that is perfect for chucking and handling. Specification  Order Code ,,https://official.en.koganei.co.jp/downloader/catalog/NHBDPG/1,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/koganei-nhbdpg-parallel-type-with-linear-guide/
Koganei NHC1 Series Parallel type Air Hand,"Φ10 to 25 mm [0.394 to 0.984 in] cylinder bore size. Perfect for high rigidity and high accuracy chucking and handling. 40% lighter, 45% smaller than previous models. Specification  Order Code ",,https://official.en.koganei.co.jp/downloader/catalog/NHC1D_ALL/1,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/koganei-nhc1-series-parallel-type-air-hand/
NKE CHP230 series Air chuck,"Compact, parallel chuck with large grip and opening allowance. The CHP230 series is available in 6 sizes, large and small, with 2 opening allowances, and horizontal and vertical finger orientations. For types with a small opening allowance for each model, a dust seal is attached to the sliding part of the rod to take dustproof measures. A non-contact type small magnetic proximity switch can be installed directly into the T-groove without popping out of the body. Specification * 1: Grip force is the value at the tip of the finger when the working pressure is 0.5Mpa {5.1kgf / cm²}.Please check the grip force calculation formula table below for the calculation formula.* 2, * 3: This is a rough reference value and varies depending on the usage conditions. Grip force calculation formula table: open, closed (N) P: Working pressure (MPa)ℓ: Length of claw from finger tip to center of gravity of work (cm) Order Code ",,https://nke.co.jp/product/catalog/pdf/chp230.pdf,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/nke-chp230-series-air-chuck/
CKD FH100 Feather hand,"Lightweight, small, and compact.[Operating stroke length] 8, 11, 14, 18, 20 mm [Integrated compact body]Cylinder integrated structure adopted, realizing simplicity. [Open / close confirmation switch]2 proximity switches can be installed. Specification  Order Code  Model List FH110-D FH112-D FH116-D FH120-D FH125-D",,https://www.ckd.co.jp/kiki/en/file/4809,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/ckd-fh100-feather-hand/
SMC MHC2 Standard Type Angular Type Air Gripper,A large holding moment is achieved through a double piston construction. Integral variable throttle Specification  Order Code  Model List MHC2-10D MHC2-16D MHC2-20D MHC2-25D MHC2-10S MHC2-16S MHC2-20S MHC2-25S,,https://content2.smcetech.com/pdf/mhc.pdf,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/smc-mhc2-standard-type-angular-type-air-gripper-2/
SMC MHF2 series Low Profile Air Gripper,"・Reduced height of approx. 1/3 of that of the standard gripper・Low profile design that reduces moment generation・Short, middle, and long strokes are available.・Compact, but the double piston mechanism provides it with a stronggripping force. Specification  Order Code   Model List Double acting type MHF2-8DMHF2-8D1MHF2-8D2MHF2-12DMHF2-12D1MHF2-12D2MHF2-16DMHF2-16D1MHF2-16D2MHF2-20DMHF2-20D1MHF2-20D2",,https://content2.smcetech.com/pdf/MHF2_EU.pdf,Air Gripper,,https://ntntech.vn/en/pneumatics/air-cylinder/air-gripper/smc-mhf2-series-low-profile-air-gripper/
Festo ADN-S/AEN-S Compact cylinder,Minimal fitting space Extra light Ideal for small movements Piston rod with internal or external thread Magnetic piston for position sensing Variants recommended for production facilities for the manufacture of lithium-ion batteries Sustainable in production due to reduction of material use Specification  Order Code  Model List,,https://www.festo.com/media/pim/539/D15000100140539.PDF,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/festo-adn-s-aen-s-compact-cylinder/
SMC CDQ2-Z series Compact cylinders,Order Code ,,https://content2.smcetech.com/pdf/CQ2_Z.pdf,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/smc-cdq2-z-series-compact-cylinders/
SMC Metal Seal MQQ Low Friction Cylinders,・Covers a range of driving speeds and output controls not possible with standard cylinders thanks to its metal seal structure with minimal sliding resistance.  Specification  Order Code ,https://vietfa.com.vn/wp-content/uploads/2020/09/MQQ-mo-ta.png,https://ca01.smcworld.com/catalog/en/actuator/MQQ-MQM-MQP-E/6-2-3-p0317-0344-mq_en/data/6-2-3-p0317-0344-mq_en.pdf,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/smc-metal-seal-mqq-low-friction-cylinders/
SMC MU/MDU series Plate cylinder,"・The oval piston design saves space. Cylinders can bemounted from multiple directions.・It is possible to mount small auto switches in 4 directions.・No protrusion of the auto switch from the mounting slot・Available with a stroke of up to 300 mm・With auto switch (MDU series: MDU, MDUW) Specification  Order Code  Model List",,https://ca01.smcworld.com/catalog/en/actuator/MU-MDU-Z-E/6-2-1-p1033-1060-mu-z_en/data/6-2-1-p1033-1060-mu-z_en.pdf,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/smc-mu-mdu-series-plate-cylinder/
Koganei BDA series Multi mount cylinders,"This Series provides OEM customers the most compact body design along with non-rotating rod specifications. Mounting options provide flexibility to orient this cylinder to your design rather than changing your design because of a component. The Selection Guide provides a summary of the 18 different BDA / HBDA Series Multi Mount Cylinders Offer: High Degree of Parallel and Perpendicular Accuracy Combination of a Square and Compact Body Non-rotating Types Available 4 Surface Mounting Options 3 Sensor Types Optional RoHS Compliance OperationsDouble Acting Non-RotatingSingle Acting PullSingle Acting Pull Non-RotatingSingle Acting PushSingle Acting Push Non-Rotating Specification  Model List Double acting type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. A square and compact body, and mounting brackets provides plenty of mounting versatility. Single acting push out type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. A square and compact body, and mounting brackets provides plenty of mounting versatility. Single acting type with integrated return spring. Single acting pull● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. A square and compact body, and mounting brackets provides plenty of mounting versatility. Single acting type with integrated return spring. Non-rotating double acting type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Non-rotating type meets a wide variety of high non-rotating accuracy needs. All in a square and compact body. Single acting non-rotating push out type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Single acting type with non-rotating type integrated return spring. Meets a wide variety of high non-rotating accuracy needs. All in a square and compact body. Single acting non-rotating pull type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Single acting type with non-rotating type integrated return spring. Meets a wide variety of high non-rotating accuracy needs. All in a square and compact body. Double acting double rod type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. A square and compact body, and mounting brackets provides plenty of mounting versatility. Cylinder with piston rods on both ends of the piston. Non-rotating double acting double rod type● Φ6 to 16 mm [0.236 to 0.630 in] cylinder bore. Non-rotating double rod type. Meets a wide variety of high non-rotating accuracy needs. All in a square and compact body.",,https://official.en.koganei.co.jp/downloader/catalog/BDA/1,Compact cylinder,,https://ntntech.vn/en/pneumatics/air-cylinder/compact-cylinder/koganei-bda-series-cylinders/
